owner,cablesystem,region,SHAPE__Length,shortname,objectid,SHAPE__Area,status
,,Great Lakes,900.251321018751,,295,34231.823018555,
,,Great Lakes,1353.98922213163,,296,55212.307869935,
,,Great Lakes,508.246026554482,,297,16422.00136332,
,,Great Lakes,1240.53893906675,,298,49417.354813295,
,,Great Lakes,634.120580687208,,299,22142.878744375,
,,Great Lakes,1374.42397535641,,300,55174.25651267,
,,Great Lakes,641.833255530699,,301,22489.983279975,
,,Great Lakes,1120.67472604106,,302,43827.659184825,
,,Great Lakes,1022.64146100839,,303,46387.37061871,
,,Great Lakes,902.227328293897,,304,34060.0837168,
,,Great Lakes,1154.10289110331,,305,45323.17894296,
,,Great Lakes,1331.37091839633,,306,53260.068755575,
,,Great Lakes,461.377309971964,,307,14391.10174484,
,,Great Lakes,3396.26654712345,,308,147704.53163757,
,,Great Lakes,3287.86484013909,,309,140406.14293633,
,,Great Lakes,1868.47993562562,,310,78407.30642708,
,,Great Lakes,2766.12826510172,,311,116439.09313858,
,,Great Lakes,1581.64936583557,,312,63900.33626147,
,,Great Lakes,2079.32149523727,,313,85719.05485221,
,,Great Lakes,3534.57206176864,,314,149987.177562435,
,,Great Lakes,2148.77661042927,,315,89191.996022815,
,,Great Lakes,1309.53752443579,,316,52093.05232893,
,,Great Lakes,885.614436014289,,317,32922.907996265,
,,Great Lakes,1722.44727322055,,318,70177.18323309,
,,Great Lakes,2293.09539574746,,319,114737.68670623,
,,Great Lakes,1262.83511411672,,320,50719.625889835,
,,Great Lakes,733.406391030372,,321,26259.829071125,
,,Great Lakes,382.974372053936,,322,10795.569122915,
,,Great Lakes,999.328641401788,,323,38094.53555824,
,,Great Lakes,702.709756805205,,324,24967.890580355,
,,Great Lakes,534.906275775893,,325,17502.585536685,
,,Great Lakes,2762.6376720552,,326,117903.07594414,
,,Great Lakes,2749.70149399839,,327,115062.76383282,
,,Great Lakes,1125.54268713079,,328,43596.16683133,
,,Great Lakes,5703.60655545858,,329,244648.91947044,
,,Great Lakes,1859.07658497869,,330,75522.327367695,
,,Great Lakes,3657.0234149592,,331,214068.881886585,
,,Great Lakes,830.356110853634,,332,29917.243888435,
,,Great Lakes,2244.24864119551,,333,92269.66158793,
,,Great Lakes,483.034469256807,,334,14769.23695439,
,,Great Lakes,2489.25571982314,,335,99577.24101759,
,,Great Lakes,2110.71917743175,,336,84001.82970957,
,,Great Lakes,510.639211578802,,337,15992.31001542,
,,Great Lakes,439.654134042883,,338,13016.81838738,
,,Great Lakes,648.904922835611,,339,22037.96123673,
,,Great Lakes,10032.7891563439,,340,411439.58886356,
,,Great Lakes,2924.42339193347,,341,118900.182456785,
,,Great Lakes,450.396269211457,,342,13165.22668178,
,,Great Lakes,701.68958179698,,343,25552.28358532,
,,Great Lakes,599.145798083159,,344,19235.424730635,
,,Great Lakes,525.24072648697,,345,16223.656960985,
,,Great Lakes,633.00092673186,,346,20579.857874535,
,,Great Lakes,2765.81819940985,,347,107834.080552545,
,,Great Lakes,360.885767709879,,348,9490.54698594,
,,Great Lakes,365.827019667605,,349,9687.79423795,
,,Great Lakes,2201.20310241636,,350,84724.40186033,
,,Great Lakes,623.162957247535,,351,25803.69473488,
,,Great Lakes,2471.50285152987,,352,96385.403797355,
,,Great Lakes,386.075687090562,,353,10572.98135651,
,,Great Lakes,532.94893954668,,354,16712.05702455,
,,Great Lakes,470.709851361328,,355,14127.376884255,
,,Great Lakes,2511.23928686756,,356,106817.11647896,
,,Great Lakes,546.555988898586,,357,20342.68054709,
,,Great Lakes,952.738676407678,,358,34198.208203325,
,,Great Lakes,660.90537354818,,359,22007.635467995,
,,Great Lakes,849.044526133747,,360,29888.224605955,
,,Great Lakes,468.399979436291,,361,14033.9244939,
,,Great Lakes,589.394641112874,,362,19095.97799662,
,,Great Lakes,816.191749962164,,363,28656.984617275,
,,Great Lakes,2031.84345437052,,364,79574.611623765,
,,Great Lakes,737.640852235611,,365,25957.68917215,
,,Great Lakes,1080.740800934,,366,58836.540933895,
,,Great Lakes,2543.92896169044,,367,102291.510440245,
,,Great Lakes,640.463379656212,,368,21509.27536659,
,,Great Lakes,489.413146860143,,369,15224.026154795,
,,Great Lakes,905.736410828566,,370,32683.95788437,
,,Great Lakes,1069.10264549031,,371,40018.756997455,
,,Great Lakes,1711.54049796287,,372,67684.767563975,
,,Great Lakes,842.384039927796,,373,29845.168107555,
,,Great Lakes,434.076584806421,,374,12617.023557935,
,,Great Lakes,383.125171817073,,375,10497.61938693,
,,Great Lakes,337.223244796179,,376,8576.143668395,
,,Great Lakes,1175.32565982573,,377,43325.15987539,
,,Great Lakes,887.24356318398,,378,31327.163354075,
,,Great Lakes,1164.32347279977,,379,42768.560957035,
,,Great Lakes,1511.35147364896,,380,57184.26674602,
,,Great Lakes,347.274617148951,,381,9002.82059438,
,,Great Lakes,386.382153688503,,382,10622.996922525,
,,Great Lakes,362.239280113956,,383,9618.56684602,
,,Great Lakes,510.531038950579,,384,15734.746433415,
,,Great Lakes,458.16133319313,,385,13568.462521685,
,,Great Lakes,394.129283349257,,386,10921.02012386,
,,Great Lakes,2236.74162299627,,387,87496.181667035,
,,Great Lakes,592.170191203872,,388,24079.472238775,
,,Great Lakes,4282.63564294075,,389,171378.769172495,
,,Great Lakes,1970.65750858515,,390,75962.471349535,
,,Great Lakes,1124.42187850011,,391,54424.767241495,
,,Great Lakes,709.945168377176,,392,23729.693791655,
,,Great Lakes,825.70560652016,,393,28510.38551232,
,,Great Lakes,6412.23487824671,,394,255418.638610875,
,,Great Lakes,6758.30328073678,,395,271235.14501427,
,,Great Lakes,9303.762878413,,396,456537.554103045,
,,Great Lakes,753.294301753221,,397,25592.12104831,
,,Great Lakes,656.349991241988,,398,28756.32678045,
,,Great Lakes,1361.25225742147,,399,51670.4288672,
,,Great Lakes,371.298697619075,,400,10044.33680051,
,,Great Lakes,2745.8982989931,,401,108169.13623118,
Oregon State University,PacWave South,West Coast,193751.540641234,PacWave,402,8707802.1515121,In Service
AT&T Corp,Washington - Alaska 1,West Coast,458302.53877373,WAAK 1,403,21010088.2921645,Out of Service
Eversource Energy,Cable 99,East Coast,19159.2843927712,Cable 99,404,774169.704578795,In Service
National Grid and Orsted,Power Transmission Cable,East Coast,35587.6591618025,,405,1435897.94587881,In Service
National Grid and Orsted,Power Transmission Cable,East Coast,85082.9532414281,,406,3446088.97277151,In Service
Woods Hole Oceanographic Institution,Martha's Vineyard Coastal Observatory,East Coast,12762.8326937541,MVCO,407,513401.36209191,In Service
AT&T Corp,Japan U.S. Cable Network,West Coast,1523984.71363337,JUS 9,408,58101202.5367588,In Service
Monterey Bay Aquarium Research Institute,Monterey Accelerated Research System,West Coast,129887.502544597,MARS,409,4949151.01552918,In Service
Cross Sound Cable Company LLC,Cross Sound Cable Interconnector HVDC,East Coast,102873.95072421,Cross Sound,410,4153661.01029189,In Service
AT&T Corp,Japan U.S. Cable Network,West Coast,1408542.09568852,JUS 8,411,55899059.2582913,In Service
Department of Defense,Cutler,East Coast,29886.4289339692,Cutler,412,1274497.87333664,In Service
Hope Creek Nuclear Power Plant,Silver Run Project,East Coast,11053.7676503542,230 kV,413,432342.449197555,In Service
Ketchikan Public Utilities,KetchCan1 Submarine Fiber Cable System,Pacific Northwest,255284.274852241,KetchCan1,414,13562145.9152569,In Service
Ketchikan Public Utilities,Submarine Power Cable,Pacific Northwest,2025.10356754979,KPU,415,99398.2003855,In Service
Rutgers University Marine Field Station,LEO 15 Fiber Optic Cable,East Coast,29546.8589572885,,416,1162507.40356258,In Service
California Resource Corporation,Power Transmission Cable - West Montalvo Oil Field,West Coast,38603.471063764,,417,1422914.7188102,In Service
California Resource Corporation,Power Transmission Cable - West Montalvo Oil Field,West Coast,23759.0409110684,,418,870228.44596461,In Service
Department of Defense,GTMO 1,Caribbean,1536244.65470901,GTMO 1,419,50346280.439286,In Service
Department of Defense,GTMO PR,Caribbean,180961.897804749,GTMO PR,420,5848872.27827556,In Service
National Grid,Nantucket Harbor Electric Supply,East Coast,113579.096856774,,421,4610884.59317321,In Service
AT&T Corp,TAT 11,East Coast,1606461.60042873,TAT 11-D,422,63062160.7948301,Out of Service
AT&T Corp,TAT 8,East Coast,1888721.65663731,TAT 8-D1,423,74093034.9976635,Out of Service
PowerBridge,Hudson Transmission Project Power Cable,East Coast,15551.5037554636,600 MW,424,621165.18920387,In Service
Neptune Regional Transmission System LLC,Neptune HVDC,East Coast,213465.033089254,Neptune,425,8570177.89045909,In Service
Vodafone,Apollo Submarine Cable System,East Coast,1521293.14661833,Apollo North,426,60071179.6256752,In Service
Vodafone,Apollo Submarine Cable System,East Coast,1053701.39614856,Apollo South,427,41277671.7208939,In Service
Global Cloud Xchange,FLAG Atlantic 1,East Coast,1797944.9890495,FLAG Atlantic 1,428,71137104.9480562,In Service
AT&T,TAT 12-13 Interlink,East Coast,395340.583295036,TAT 12-13,429,15953869.7839485,In Service
National Grid,Nantucket Harbor Electric Supply,East Coast,118414.546056477,,430,4809978.74796463,In Service
AT&T Corp,TAT 6,East Coast,1537410.82498038,TAT 6,431,61124783.6190146,Out of Service
TATA Communications,CANUS,East Coast,2055638.83892821,CANUS 1,432,81628260.5150587,Out of Service
AT&T Corp,TAT 5,East Coast,1475286.43586139,TAT 5,433,58489188.4778448,Out of Service
Anglo-American Telegraph Company,1869 French Atlantic Cable,East Coast,697310.247114989,,434,28819376.3065792,Abandoned
AT&T Corp,TAT 12,East Coast,1623269.63170511,TAT 12,435,64450356.6207236,Out of Service
TATA Communications,TGN A,East Coast,1247584.1130969,TGN A-2,436,48899214.9318553,In Service
TATA Communications,TGN A,East Coast,1526498.78423375,TGN A-1,437,60039136.2128199,In Service
Verizon,Gemini Bermuda,East Coast,1573888.55265179,GB,438,61672051.0477437,In Service
EXA Infrastructure,EXA Infrastructure Express,East Coast,848953.714857001,EXA Express,439,35174957.422554,In Service
AT&T Corp,TAT 4,East Coast,1074300.21137199,TAT 4,440,41758160.1439091,Out of Service
GlobeNet Cable System,GlobeNet,East Coast,2721210.22085679,GlobeNet 1,441,101724801.987536,In Service
GlobeNet Cable System,GlobeNet,East Coast,930357.808674332,GlobeNet 1,442,36243220.2552796,In Service
GlobeNet Cable System,GlobeNet,East Coast,1003687.31190836,GlobeNet 5,443,39050755.0836959,In Service
Global Cloud Xchange,FLAG Atlantic North,East Coast,2044163.93167934,FLAG Atlantic 1,444,81587462.255146,In Service
Sprint,Private Transatlantic Tellecommunications Cable System,East Coast,1974164.19639332,PTAT E1,445,77834394.5199607,Out of Service
OneCommunications,Challenger Bermuda,East Coast,1226841.81573908,CB 1,446,48619606.8838981,In Service
Lumen Technologies Inc,Yellow Cable System,East Coast,1547333.09615883,Yellow,447,61102077.9867565,In Service
Colt Technology Services Group Limited,Atlantic Crossing 1,East Coast,1733693.56176553,AC 1-A,448,68907940.9644459,In Service
Colt Technology Services Group Limited,Atlantic Crossing 1,East Coast,1556691.74694525,AC 1-C,449,61536911.0883953,In Service
Lumen Technologies Inc,Mid Atlantic Crossing,East Coast,1290151.93593511,MAC 1-3,450,50658466.8716418,In Service
Lumen Technologies Inc,Mid Atlantic Crossing,East Coast,1253120.5253813,MAC 1-1,451,49149666.8649291,In Service
Pacific Caribbean Cable System Consortium,Pacific Caribbean Cable System 1,East Coast,1128823.04642922,PCCS 1,452,39705432.794599,In Service
<Null>,Possible telegraph cables,East Coast,540843.384736202,,453,18234294.59443,Abandoned
<Null>,Possible telegraph cables,East Coast,192461.284015651,,454,6429814.39029519,Abandoned
<Null>,Possible telegraph cables,East Coast,194113.422023867,,455,6486466.82996403,Abandoned
<Null>,Possible telegraph cables,East Coast,191987.865454019,,456,6414029.20533316,Abandoned
<Null>,Possible telegraph cables,East Coast,224892.550427696,,457,7528542.27744628,Abandoned
<Null>,Possible telegraph cables,East Coast,200561.180598179,,458,6705626.09864709,Abandoned
<Null>,Possible telegraph cables,East Coast,223235.361263537,,459,7467085.39505959,Abandoned
,Possible telegraph cables,East Coast,208921.32089131,,460,6986465.23580556,Abandoned
,Possible telegraph cables,East Coast,265953.998882406,,461,8898335.18577914,Abandoned
,Possible telegraph cables,East Coast,252027.765086491,,462,8441277.58008575,Abandoned
"Angola Cables, Google, Algar Telecom, Antel Uruguay",MONET 1,East Coast,256153.805943195,MONET 1,463,8755250.70950083,In Service
Caribbean Crossings,Bahamas Internet Cable System,East Coast,129673.729075544,BICS 6,464,4429629.73813456,In Service
,Possible telegraph cables,East Coast,18637.0994575058,,465,620953.555811705,Abandoned
,Possible telegraph cables,East Coast,23258.9535411337,,466,775245.884829255,Abandoned
Tampnet,Gulf of Mexico Fiber Optic Network,Gulf of America,2639047.60576298,Tampnet,467,91269410.9828677,In Service
Blackburn Technology,Boriken Submarine Cable System,Caribbean,170826.090300316,BSCS,468,5517627.42976773,In Service
Telxius,BRUSA Cable System,Caribbean,99993.2153611582,BRUSA 4.3,469,3225606.43195343,In Service
Telxius,BRUSA Cable System,Caribbean,425458.647008294,BRUSA 4.1,470,13749380.6321645,In Service
"Verizon, AT&T, T-Mobile, Hondutel, Telefonica, and others",MAYA 1,East Coast,447737.137315908,MAYA 1,471,15095197.565199,In Service
Consortium Ownership Model,Americas Region Caribbean Optical-Ring System,East Coast,426720.13253862,ARCOS 1-25,472,14378571.8867363,In Service
AT&T Corp,Americas 1 North - Columbus II B,East Coast,202463.8257224,Americas 1 N,473,6983435.73753262,In Service
The Bahamas Telecommunications Company Limited,Bahamas II Cable System,East Coast,212558.881353543,Bahamas II Cable,474,7313951.12327487,In Service
AT&T Corp,Florida St Thomas 3,East Coast,195007.747054447,FST 3,475,6737515.09021495,Out of Service
AT&T Corp,Bahamas 1,East Coast,120302.419959607,Bahamas 1,476,4116365.58745313,Out of Service
Telxius,South America 1,East Coast,554634.667402631,SAm 1 I,477,18760765.1266956,In Service
GlobeNet,GlobeNet Cable System,East Coast,1215428.31229512,GlobeNet 1,478,42076862.6462049,In Service
GlobeNet,GlobeNet Cable System,East Coast,770859.587342374,GlobeNet 2,479,26456872.0538353,In Service
Liberty Latin America,CFX 1,East Coast,129075.019449041,CFX 1,480,4399081.90952197,In Service
AT&T Corp,Columbus II Cable System,East Coast,572118.199512516,Columbus II-A,481,19343827.0309898,In Service
AT&T Corp,Columbus III,East Coast,105959.804965066,Columbus III,482,3600785.17962685,Out of Service
"Embratel, AT&T, Verizon, T-Mobile, CANTV, Tata, and others",Americas II Cable System,East Coast,108697.599067727,Americas II-12,483,3692268.78287065,In Service
AT&T Corp,Columbus II Cable System,East Coast,138334.294778874,Columbus II-B,484,4726343.83865322,In Service
AT&T Corp,Florico 2 ,East Coast,144594.7776045,,485,4944344.76003796,Out of Service
AT&T Corp,Florida Puerto Rico N-S,East Coast,277387.286642944,,486,9507153.20337591,Out of Service
AT&T Corp,Florida Puerto Rico S-N,East Coast,131492.850811122,,487,4496951.19873603,Out of Service
AT&T Corp,Florida Jamaica,East Coast,141376.344927273,,488,4771606.09171539,Out of Service
ARCOS-1 USA Inc,Americas Region Caribbean Optical-Ring System,Caribbean,540472.188616777, ARCOS 1-8,489,17489722.9386268,In Service
ARCOS-1 USA Inc,Americas Region Caribbean Optical-Ring System,Caribbean,567441.429204502,ARCOS 1-7,490,18359577.7512926,In Service
Telxius,South America 1,East Coast,181314.549774167,SAm 1-H,491,6191188.37620137,In Service
Telxius,South America 1,Caribbean,545774.791086619,SAm 1-H,492,17666169.0628231,In Service
GlobeNet,GlobeNet,Caribbean,926874.258030593,GlobeNet 2-1,493,29558632.8230213,In Service
Lumen Technologies Inc,Mid-Atlantic Crossing,Caribbean,1016952.5891826,MAC 1-2,494,32932356.691893,In Service
GU Holdings Inc,Unity Cable System,West Coast,2096135.98329929,Unity,495,76836696.5504181,In Service
TATA Communications,TGN Pacific,West Coast,5156436.53964681,TGN G5,496,202062138.440335,In Service
Michael Wyse,Southeast Asia U.S.,West Coast,1332330.87093767,SEA U.S.,497,48226553.213124,In Service
Exxon Mobil,Offshore Power Cables for Santa Ynez Unit,West Coast,139062.553689509,,498,5675420.70419762,In Service
NTT Communications Ltd,Pacific Crossing,West Coast,4989489.22959236,PC1 E,499,201013518.8651,In Service
AT&T Corp,Trans-Pacific Cable 5 Network,West Coast,3162078.5371481,TPC 5-CN,500,124092935.909795,In Service
AT&T and Partners,Asia America Gateway,West Coast,1124826.15336871,AAG,501,42084907.9675459,In Service
SteelRiver Transmission Company,Trans-Bay Cable,West Coast,212530.609175628,TBC,502,8223810.5710075,In Service
GU Holdings Inc,FASTER Cable System,West Coast,1143885.47439131,FASTER,503,48070830.1067534,In Service
AT&T Corp,Trans-Pacific Cable 5 Network,West Coast,1143685.31480246,TPC 5-CN,504,48435067.4220371,In Service
Alaska Communications,AKORN,West Coast,1556570.61287713,AKORN 2.2,505,67063407.5248186,In Service
Coastal Endurance Array Cables,RSN Backbone Cable,West Coast,1042470.57805813,,506,44839339.7116804,In Service
Hawaiki Submarine Cable LP,Hawaiki System,West Coast,1447044.20351898,Hawaiki T4,507,61604487.7988429,In Service
Coastal Endurance Array Cables,RSN Backbone Cable,West Coast,1224545.56059505,,508,53574854.2179337,In Service
TATA Communications,TGN Pacific,West Coast,1296745.51020973,TGN G6,509,56845595.6817169,In Service
Southern Cross Cable Network,Southern Cross,West Coast,1458620.1971537,SC F,510,62591070.8665131,In Service
Alaska Communications,Northstar Nedonna,West Coast,1176957.89360048,NORTH STAR,511,51538382.8598451,In Service
Microsoft Infrastructure Group LLC,New Cross Pacific Cable,West Coast,1151354.11268479,NCP,512,50017941.5002033,In Service
GCI Communication Corp,North Pacific Cable System,West Coast,1177008.95131713,NPC,513,51611672.6861785,Out of Service
MCI International Inc,Trans-Pacific Express,West Coast,496605.211348944,TPE,514,21718672.9569081,In Service
TATA Communications,TGN Pacific,West Coast,1067927.62199726,TGN G1,515,47181962.5727083,In Service
GCI Communication Corp,Alaska United West,West Coast,1036047.46644998,AU West 2,516,45971514.5182289,In Service
GCI Communication Corp,Alaska United East,West Coast,1009377.03699408,AU East C,517,46203963.6481073,In Service
NTT Communications,Pacific Crossing 1,West Coast,805721.106714227,PC1 E,518,36872903.6475144,In Service
NTT Communications,Pacific Crossing 1,West Coast,800681.320560352,PC1 N,519,36641893.7314603,In Service
<Null>,Washington - Alaska 2,West Coast,435269.662723346,WAAK 2,520,19969180.4100075,Out of Service
EXA Infrastructure,Amitie,East Coast,936017.696520187,Amitie,521,38761742.9802311,In Service
Sprint,Private Transatlantic Tellecommunications Cable System,East Coast,171485.676845383,PTAT E2,522,6724339.64042461,Out of Service
Dominion Energy,Coastal Virginia Offshore Wind,East Coast,114204.487305071,CVOW,523,4356076.33132131,In Service
Telxius,BRUSA Cable System,East Coast,1345362.41870928,BRUSA 1,524,50606469.9606014,In Service
Google,Dunant,East Coast,1037348.7262062,Duant,525,39599258.7414988,In Service
"Telxius USA, Edge Cable Holdings USA LLC",MAREA Cable System,East Coast,1037293.37787998,MAREA,526,39552493.7721024,In Service
GCI Communication Corp,AU Aleutian,Pacific Northwest,17145131.4052558,AU Aleutian,527,975351290.386025,In Service
GCI Communication Corp,GCI South East Alaska Fiber Optic Cable,Pacific Northwest,239990.449879883,GCI,528,12930029.1247302,In Service
GCI Communication Corp,GCI South East Alaska Fiber Optic Cable,Pacific Northwest,30910.0242818682,GCI,529,1694675.28574264,In Service
GCI Communication Corp,GCI South East Alaska Fiber Optic Cable,Pacific Northwest,55868.4048861655,GCI,530,3071456.46928718,In Service
Alaska Communications,Northstar Cable,Pacific Northwest,5894754.80878727,,531,333462078.663758,In Service
GCI Communication Corp,Alaska United Southeast,Pacific Northwest,497266.999542096,AU SE,532,28084553.7997514,In Service
GCI Communication Corp,Alaska United,Pacific Northwest,515974.606969575,AU EAST D,533,32254942.7584762,In Service
Alaska Communications,Northstar Valdez - Whittier,Pacific Northwest,609774.948502305,North Star,534,38120416.6059335,In Service
Hawaiki Submarine Cable LP,Hawaiki Cable,Pacific Islands,1962645.11676412,Hawaiki,535,64272799.4506955,In Service
"ONATI SAS, OPT French Polynesia",Honotua,Pacific Islands,1279133.62768299,Honotua,536,40970496.557936,In Service
Southern Cross Cable Network,Southern Cross Cable Network,Pacific Islands,3062334.55479333,SCCN,537,99833102.6965451,In Service
Southern Cross Cable Network,Southern Cross,Pacific Islands,1038379.11704277,SC G,538,33703015.9427011,In Service
<Null>,Guam 2,Pacific Islands,1934259.94282724,,539,63320596.8848844,Out of Service
AT&T Corp,Trans-Pacific Cable,Pacific Islands,2307961.91177128,TPC 5-H,540,75714078.5751584,Out of Service
AT&T and Partners,Asia America Gateway ,Pacific Islands,2529472.26098245,AAG,541,83174841.1592288,In Service
AT&T Corp,Hawaii 3,Pacific Islands,1400145.70948504,HAW-3,542,46175592.8423652,Out of Service
AT&T Corp,Asia America Gateway,Pacific Islands,1058958.34382184,AAG 5,543,35192646.678891,In Service
AT&T Corp,Hawaii 5,Pacific Islands,1218249.44379965,HAW 5,544,40437733.3607064,Out of Service
AT&T Corp,Trans-Pacific Cable 5 Network,Pacific Islands,1300249.65981766,TPC 5-CN,545,43205564.1195358,In Service
AT&T Corp,Hawaii 1 West-East,Pacific Islands,1093345.78206172,HAW 1,546,36142693.3030758,Out of Service
AT&T Corp,Hawaii 1 East-West,Pacific Islands,1021385.63043847,HAW 1,547,33815621.2472612,Out of Service
,,Pacific Islands,1395260.41519329,,548,46304206.6059485,Abandoned
"Verizon, AT&T, BT, T-Mobile, Lumen, NTT, and others",Japan U.S. Cable Network,Pacific Islands,5586400.13945502,JUS,549,189872328.497732,In Service
AT&T Corp,Hawaii 4,Pacific Islands,1413569.24637853,HAW 4,550,46928202.5787659,Out of Service
"Verizon, AT&T, BT, T-Mobile, Lumen, NTT and others",Japan U.S. Cable Network,Pacific Islands,1045992.48911642,JUS 1,551,34733054.7407281,In Service
"Hawaiian Telcom, Lumen",Hawaii Island Fibre Network,Pacific Islands,973298.97991137,HIFN,552,31868286.9991616,In Service
Hawaiian Telecom Inc,Paniolo Cable System,Pacific Islands,928752.914159776,Paniolo,553,30446382.2818976,In Service
Hawaiian Telcom,Hawaii Inter-Island Cable System,Pacific Islands,940625.882115085,HICS,554,30807352.225128,In Service
Department of Defense,Wave Energy Test Site Power Line,Pacific Islands,2700.42525164402,WETS,555,85194.820059975,In Service
Department of Defense,Wave Energy Test Site Power Line,Pacific Islands,5586.93943877086,WETS,556,179760.07996759,In Service
Alaska Communications,AKORN,Pacific Northwest,381270.75897768,AKORN,557,23925238.1231707,In Service
Alaska Communications,AKORN,Pacific Northwest,4603078.51808648,AKORN,558,259642989.352087,In Service
Quintillion Subsea Operations LLC,Quintillion Subsea Cable Network,Pacific Northwest,10469574.9135756,Quintillion,559,897476455.781082,In Service
Bayonne Energy Center LLC,Bayonne Energy Center Cable,East Coast,27006.8882787213,345 kV AC,560,1081187.08134257,In Service
Bayonne Energy Center LLC,Bayonne Energy Center Cable,East Coast,27085.0872742184,345 kV AC,561,1084357.44915717,In Service
America Europe Connect 2 USA Inc,HAVFRUE Cable System,East Coast,1748029.33110729,HAVFRUE 1,562,68934047.0676592,In Service
Lumen Technologies Inc,Mid-Atlantic Crossing,East Coast,122720.43834205,MAC 1-2,563,4165355.45019985,In Service
Lumen Technologies Inc,Mid-Atlantic Crossing,East Coast,114703.222802458,MAC 1-1,564,3895424.62553845,In Service
Consortium Ownership Model,Americas Region Caribbean Optical-Ring System,East Coast,101694.127337508,ARCOS 1-1,565,3461640.64995447,In Service
Department of Defense,Wave Energy Test Site Power Line,Pacific Islands,4162.7536579398,WETS,566,132991.514655,In Service
Squirrel Point,Utility Cables,East Coast,1779.5596966333,,567,69684.222363935,Out of Service
Squirrel Point,Utility Cables,East Coast,1789.38677681139,,568,70099.799750905,Out of Service
AT&T Corp,Telephone Cable,East Coast,2136.77481579569,,569,84655.24166893,Out of Service
Seguin Island Lighthouse,Utility Cables,East Coast,13380.0551998285,,570,558755.13951675,In Service
Cuckolds Lighthouse,Utility Cables,East Coast,2921.39051857065,,571,118027.70032718,In Service
Cabbage Island,Utility Cables,East Coast,3400.70483360476,,572,138031.13450031,In Service
Cabbage Island,Utility Cables,East Coast,1021.35380962057,,573,37540.877856635,In Service
Cabbage Island,Utility Cables,East Coast,1031.06667689613,,574,37950.299168725,In Service
Cabbage Island,Utility Cables,East Coast,922.189715270611,,575,33352.57860102,In Service
Cabbage Island,Utility Cables,East Coast,697.073787316008,,576,23844.069873255,In Service
Cabbage Island,Utility Cables,East Coast,922.41392382581,,577,33322.652650755,In Service
,,Gulf of America,2166.76223569893,,578,129142.44944313,
,,Gulf of America,2142.25149711407,,579,250858.477815685,
,,Gulf of America,2108.4202017568,,580,230508.230353145,
,,Gulf of America,7941.08485630708,,581,1305916.74724235,
,,Gulf of America,4311.08014611813,,582,608752.59932548,
,,Gulf of America,1262.49097790345,,583,96223.311287985,
,,Gulf of America,11691.4780809031,,584,450786.40803624,
,,Gulf of America,1414.78982735969,,585,56280.990569375,
,,Gulf of America,9645.50328175398,,586,491469.67824376,
,,Gulf of America,2006.23372245133,,587,150434.86822797,
,,Gulf of America,2996.14759777479,,588,500512.689106195,
,,Gulf of America,3129.76124349689,,589,330427.47453727,
,,Gulf of America,3124.68559269567,,590,583596.559882065,
,,Gulf of America,2633.48592817445,,591,390590.99395128,
,,Gulf of America,9196.07373149636,,592,1444410.03012876,
,,Gulf of America,4221.58713255323,,593,923292.172541605,
,,Gulf of America,2210.35106943556,,594,257347.87064546,
,,Gulf of America,1952.3687818109,,595,76968.577862255,
,,Gulf of America,4342.58578888747,,596,688442.61855186,
,,Gulf of America,2822.29681352758,,597,365018.28805234,
,,Gulf of America,636.073284141805,,598,20861.86129531,
,,Gulf of America,1390.8729722146,,599,57137.889486565,
,,Gulf of America,4999.77530485583,,600,1175420.7846544,
,,Gulf of America,2922.11667464181,,601,131699.88142514,
,,Gulf of America,1403.44598245097,,602,99664.513839365,
,,Gulf of America,784.620777768629,,603,11865.331392745,
,,Gulf of America,10519.0521508594,,604,2341419.51660116,
,,East Coast,2947.30718100669,,605,389257.07008832,
,,East Coast,2025.59494812727,,606,96719.88875371,
,,East Coast,64.0875183711143,,607,210.974170805,
,,East Coast,1492.18798593208,,608,97679.15345866,
,,East Coast,17085.7286227567,,609,3137422.36660831,
,,East Coast,3131.14240736464,,610,365431.658154765,
,,East Coast,4268.29708146412,,611,378784.572617745,
,,East Coast,7511.03114395826,,612,991219.122743425,
,,East Coast,2279.09162624537,,613,191698.92464373,
,,East Coast,9009.15112321852,,614,1582495.11611178,
,,East Coast,3221.19694312703,,615,355878.34090145,
,,East Coast,1660.88675543648,,616,144293.776587625,
,,Gulf of America,20745.2940814119,,617,1685719.24615958,
,,Gulf of America,5486.85376547483,,618,708183.110479165,
,,Gulf of America,14821.7256026135,,619,2620625.04213043,
,,Gulf of America,995.588386211286,,620,33891.149770405,
,,Gulf of America,34305.4913540251,,621,7787119.53877877,
,,Gulf of America,2140.30998496515,,622,124945.151233305,
,,Gulf of America,3124.81181243934,,623,326327.443985025,
,,East Coast,4026.21560245008,,624,545684.68740925,
,,East Coast,1683.06223964095,,625,110847.421498875,
,,Pacific Islands,8843.24779443747,,626,3751931.52804531,
,,Pacific Islands,866.226585533106,,627,42421.389025645,
,,Pacific Islands,1100.45320845384,,628,69919.85062295,
,,Pacific Islands,10723.1440814532,,629,1535269.62161257,
,,Pacific Islands,20894.0816908274,,630,8542204.19804433,
,,Gulf of America,1955.46772398296,,631,93290.782495965,
,,Gulf of America,238.852942346289,,632,1022.8954006,
,,Gulf of America,3374.63190564092,,633,242694.62763593,
,,Gulf of America,246.228694065169,,634,596.376316915,
,,East Coast,9133.33360263478,,635,1268786.52044096,
